Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
3.080	0.07659	-66.91	0.9818	300.13	-1000000	-1000000	-1000000	-1000000	
3.100	0.07749	-66.58	0.9851	300.14	-1000000	-1000000	-1000000	-1000000	
3.120	0.07841	-66.56	0.9884	300.13	-1000000	-1000000	-1000000	-1000000	
3.140	0.07940	-67.01	0.9918	300.11	-1000000	-1000000	-1000000	-1000000	
3.160	0.08038	-67.62	0.9952	300.11	-1000000	-1000000	-1000000	-1000000	
3.180	0.08132	-67.57	0.9984	300.14	-1000000	-1000000	-1000000	-1000000	
3.200	0.08219	-66.86	1.002	300.14	-1000000	-1000000	-1000000	-1000000	
3.220	0.08307	-66.28	1.005	300.13	-1000000	-1000000	-1000000	-1000000	
3.240	0.08400	-65.54	1.008	300.11	-1000000	-1000000	-1000000	-1000000	
3.260	0.08491	-64.89	1.012	300.15	-1000000	-1000000	-1000000	-1000000	
3.280	0.08579	-64.59	1.015	300.24	-1000000	-1000000	-1000000	-1000000	
3.300	0.08674	-64.79	1.018	300.47	-1000000	-1000000	-1000000	-1000000	
3.320	0.08772	-65.62	1.022	301.56	-1000000	-1000000	-1000000	-1000000	
3.340	0.08870	-66.69	1.025	303.12	-1000000	-1000000	-1000000	-1000000	
3.360	0.08965	-67.68	1.028	303.85	-1000000	-1000000	-1000000	-1000000	
3.380	0.09058	-68.60	1.032	304.64	-1000000	-1000000	-1000000	-1000000	
3.400	0.09146	-69.01	1.035	306.35	-1000000	-1000000	-1000000	-1000000	
3.420	0.09236	-68.39	1.038	307.78	-1000000	-1000000	-1000000	-1000000	
3.440	0.09326	-67.25	1.042	308.18	-1000000	-1000000	-1000000	-1000000	
3.460	0.09415	-66.38	1.045	309.47	-1000000	-1000000	-1000000	-1000000	
3.480	0.09510	-66.00	1.048	312.28	-1000000	-1000000	-1000000	-1000000	
3.500	0.09608	-65.29	1.051	314.95	-1000000	-1000000	-1000000	-1000000	
3.520	0.09698	-64.94	1.055	316.92	-1000000	-1000000	-1000000	-1000000	
3.540	0.09775	-63.23	1.058	318.27	-1000000	-1000000	-1000000	-1000000	
3.560	0.09842	-55.38	1.061	319.24	-1000000	-1000000	-1000000	-1000000	
3.580	0.09900	-36.93	1.065	320.76	-1000000	-1000000	-1000000	-1000000	
3.600	0.09936	-7.460	1.068	321.97	-1000000	-1000000	-1000000	-1000000	
3.620	0.09954	29.81	1.071	322.47	-1000000	-1000000	-1000000	-1000000	
3.640	0.09965	69.81	1.074	322.12	-1000000	-1000000	-1000000	-1000000	
3.660	0.09973	106.52	1.075	321.98	-1000000	-1000000	-1000000	-1000000	
3.680	0.09980	133.94	1.076	322.33	-1000000	-1000000	-1000000	-1000000	
3.700	0.09981	150.12	1.077	322.67	-1000000	-1000000	-1000000	-1000000	
3.720	0.09981	156.96	1.077	322.60	-1000000	-1000000	-1000000	-1000000	
3.740	0.09978	158.04	1.077	322.33	-1000000	-1000000	-1000000	-1000000	
3.760	0.09975	156.68	1.076	322.37	-1000000	-1000000	-1000000	-1000000	
3.780	0.09977	155.07	1.076	322.62	-1000000	-1000000	-1000000	-1000000	
3.800	0.09978	153.83	1.076	322.42	-1000000	-1000000	-1000000	-1000000	
3.820	0.09976	152.80	1.075	321.86	-1000000	-1000000	-1000000	-1000000	
3.840	0.09980	151.62	1.075	321.45	-1000000	-1000000	-1000000	-1000000	
3.860	0.09979	150.43	1.075	321.19	-1000000	-1000000	-1000000	-1000000	
3.880	0.09974	149.32	1.075	321.26	-1000000	-1000000	-1000000	-1000000	
3.900	0.09975	148.56	1.075	321.67	-1000000	-1000000	-1000000	-1000000	
3.920	0.09973	147.85	1.074	321.61	-1000000	-1000000	-1000000	-1000000	
3.940	0.09971	146.91	1.074	321.36	-1000000	-1000000	-1000000	-1000000	
3.960	0.09971	145.95	1.074	321.18	-1000000	-1000000	-1000000	-1000000	
3.980	0.09971	144.91	1.074	321.00	-1000000	-1000000	-1000000	-1000000	
4.000	0.09970	144.03	1.074	321.20	-1000000	-1000000	-1000000	-1000000	
4.020	0.09966	143.77	1.074	321.77	-1000000	-1000000	-1000000	-1000000	
4.040	0.09966	143.78	1.074	321.99	-1000000	-1000000	-1000000	-1000000	
4.060	0.09968	143.77	1.073	321.29	-1000000	-1000000	-1000000	-1000000	
4.080	0.09966	143.63	1.073	320.98	-1000000	-1000000	-1000000	-1000000	
4.100	0.09962	143.72	1.073	320.67	-1000000	-1000000	-1000000	-1000000	
4.120	0.09965	143.83	1.073	320.65	-1000000	-1000000	-1000000	-1000000	
4.140	0.09967	143.83	1.073	320.53	-1000000	-1000000	-1000000	-1000000	
4.160	0.09966	143.69	1.073	320.26	-1000000	-1000000	-1000000	-1000000	
4.180	0.09966	143.36	1.073	319.85	-1000000	-1000000	-1000000	-1000000	
4.200	0.09964	142.65	1.073	320.02	-1000000	-1000000	-1000000	-1000000	
4.220	0.09959	142.10	1.073	320.13	-1000000	-1000000	-1000000	-1000000	
4.240	0.09954	141.78	1.073	319.98	-1000000	-1000000	-1000000	-1000000	
4.260	0.09950	141.33	1.073	320.04	-1000000	-1000000	-1000000	-1000000	
4.280	0.09950	140.55	1.073	319.63	-1000000	-1000000	-1000000	-1000000	
4.300	0.09949	139.27	1.073	319.82	-1000000	-1000000	-1000000	-1000000	
4.320	0.09952	137.68	1.073	320.11	-1000000	-1000000	-1000000	-1000000	
4.340	0.09958	135.34	1.073	319.84	-1000000	-1000000	-1000000	-1000000	
