Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
2.780	0.04958	123.72	0.8348	300.12	-1000000	-1000000	-1000000	-1000000	
2.800	0.04964	123.62	0.8348	300.08	-1000000	-1000000	-1000000	-1000000	
2.820	0.04968	123.45	0.8348	300.11	-1000000	-1000000	-1000000	-1000000	
2.840	0.04967	123.42	0.8349	300.16	-1000000	-1000000	-1000000	-1000000	
2.860	0.04966	123.62	0.8349	300.15	-1000000	-1000000	-1000000	-1000000	
2.880	0.04969	123.64	0.8348	300.09	-1000000	-1000000	-1000000	-1000000	
2.900	0.04969	123.65	0.8349	300.09	-1000000	-1000000	-1000000	-1000000	
2.920	0.04970	123.50	0.8352	300.14	-1000000	-1000000	-1000000	-1000000	
2.940	0.04974	123.31	0.8355	300.17	-1000000	-1000000	-1000000	-1000000	
2.960	0.04978	123.29	0.8355	300.13	-1000000	-1000000	-1000000	-1000000	
2.980	0.04976	123.35	0.8354	300.08	-1000000	-1000000	-1000000	-1000000	
3.000	0.04977	123.46	0.8355	300.10	-1000000	-1000000	-1000000	-1000000	
3.020	0.04980	123.45	0.8355	300.15	-1000000	-1000000	-1000000	-1000000	
3.040	0.04979	123.29	0.8355	300.16	-1000000	-1000000	-1000000	-1000000	
3.060	0.04975	123.20	0.8355	300.10	-1000000	-1000000	-1000000	-1000000	
3.080	0.04973	123.14	0.8356	300.09	-1000000	-1000000	-1000000	-1000000	
3.100	0.04976	123.28	0.8356	300.13	-1000000	-1000000	-1000000	-1000000	
3.120	0.04981	123.50	0.8357	300.17	-1000000	-1000000	-1000000	-1000000	
3.140	0.04988	123.71	0.8360	300.14	-1000000	-1000000	-1000000	-1000000	
3.160	0.04995	123.67	0.8361	300.09	-1000000	-1000000	-1000000	-1000000	
3.180	0.04993	123.59	0.8362	300.10	-1000000	-1000000	-1000000	-1000000	
