Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
4.160	-0.03180	-230.81	0.9846	300.15	-1000000	-1000000	-1000000	-1000000	
4.180	-0.03059	-230.95	0.9892	300.14	-1000000	-1000000	-1000000	-1000000	
4.200	-0.02923	-231.15	0.9938	300.12	-1000000	-1000000	-1000000	-1000000	
4.220	-0.02790	-231.35	0.9985	300.12	-1000000	-1000000	-1000000	-1000000	
4.240	-0.02665	-231.48	1.003	300.14	-1000000	-1000000	-1000000	-1000000	
4.260	-0.02541	-230.98	1.008	300.15	-1000000	-1000000	-1000000	-1000000	
4.280	-0.02421	-230.28	1.013	300.13	-1000000	-1000000	-1000000	-1000000	
4.300	-0.02299	-230.51	1.017	300.11	-1000000	-1000000	-1000000	-1000000	
4.320	-0.02170	-231.55	1.022	300.13	-1000000	-1000000	-1000000	-1000000	
4.340	-0.02042	-233.08	1.026	300.15	-1000000	-1000000	-1000000	-1000000	
4.360	-0.01917	-234.27	1.031	300.14	-1000000	-1000000	-1000000	-1000000	
4.380	-0.01795	-234.70	1.036	300.12	-1000000	-1000000	-1000000	-1000000	
4.400	-0.01670	-234.79	1.040	300.12	-1000000	-1000000	-1000000	-1000000	
4.420	-0.01544	-234.50	1.045	300.13	-1000000	-1000000	-1000000	-1000000	
4.440	-0.01416	-233.62	1.050	300.15	-1000000	-1000000	-1000000	-1000000	
4.460	-0.01289	-233.31	1.054	300.13	-1000000	-1000000	-1000000	-1000000	
4.480	-0.01164	-233.93	1.059	300.12	-1000000	-1000000	-1000000	-1000000	
4.500	-0.01039	-234.32	1.064	300.12	-1000000	-1000000	-1000000	-1000000	
4.520	-0.00915	-234.62	1.068	300.14	-1000000	-1000000	-1000000	-1000000	
4.540	-0.00793	-234.66	1.073	300.15	-1000000	-1000000	-1000000	-1000000	
4.560	-0.00661	-233.91	1.078	300.49	-1000000	-1000000	-1000000	-1000000	
4.580	-0.00526	-233.12	1.082	302.44	-1000000	-1000000	-1000000	-1000000	
4.600	-0.00404	-232.80	1.087	305.07	-1000000	-1000000	-1000000	-1000000	
4.620	-0.00290	-233.28	1.092	308.43	-1000000	-1000000	-1000000	-1000000	
4.640	-0.00170	-234.13	1.097	312.76	-1000000	-1000000	-1000000	-1000000	
4.660	-0.00046	-234.59	1.101	316.44	-1000000	-1000000	-1000000	-1000000	
4.680	0.00071	-234.13	1.106	319.29	-1000000	-1000000	-1000000	-1000000	
4.700	0.00180	-229.35	1.110	321.23	-1000000	-1000000	-1000000	-1000000	
4.720	0.00278	-214.28	1.115	322.61	-1000000	-1000000	-1000000	-1000000	
4.740	0.00360	-183.93	1.120	324.26	-1000000	-1000000	-1000000	-1000000	
4.760	0.00418	-137.83	1.124	325.73	-1000000	-1000000	-1000000	-1000000	
4.780	0.00448	-79.81	1.129	326.10	-1000000	-1000000	-1000000	-1000000	
4.800	0.00464	-17.63	1.133	326.01	-1000000	-1000000	-1000000	-1000000	
4.820	0.00472	39.08	1.135	325.98	-1000000	-1000000	-1000000	-1000000	
4.840	0.00479	82.66	1.137	326.23	-1000000	-1000000	-1000000	-1000000	
4.860	0.00487	111.74	1.138	326.29	-1000000	-1000000	-1000000	-1000000	
4.880	0.00490	128.39	1.138	326.36	-1000000	-1000000	-1000000	-1000000	
4.900	0.00491	136.40	1.138	326.42	-1000000	-1000000	-1000000	-1000000	
4.920	0.00488	140.07	1.138	326.20	-1000000	-1000000	-1000000	-1000000	
4.940	0.00487	141.76	1.138	325.88	-1000000	-1000000	-1000000	-1000000	
4.960	0.00486	142.57	1.138	325.18	-1000000	-1000000	-1000000	-1000000	
4.980	0.00489	142.99	1.138	324.88	-1000000	-1000000	-1000000	-1000000	
5.000	0.00491	143.19	1.138	324.91	-1000000	-1000000	-1000000	-1000000	
5.020	0.00491	143.21	1.138	324.80	-1000000	-1000000	-1000000	-1000000	
5.040	0.00489	143.55	1.138	324.53	-1000000	-1000000	-1000000	-1000000	
5.060	0.00489	144.19	1.138	324.26	-1000000	-1000000	-1000000	-1000000	
5.080	0.00490	144.73	1.138	324.21	-1000000	-1000000	-1000000	-1000000	
5.100	0.00487	145.73	1.138	324.28	-1000000	-1000000	-1000000	-1000000	
5.120	0.00485	146.63	1.138	323.69	-1000000	-1000000	-1000000	-1000000	
